customerID,SeniorCitizen,tenure,MonthlyCharges,flag_gender_Male,flag_Partner,flag_Dependents,flag_PhoneService,flag_MultipleLines,flag_OnlineSecurity,flag_OnlineBackup,flag_DeviceProtection,flag_TechSupport,flag_StreamingTV,flag_StreamingMovies,flag_PaperlessBilling,flag_InternetService,flag_automatic_payment,num_produtos,media_mothly_charges,num_produtos_seguranca,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaymentMethod_Bank_transfer_automatic,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
5240-CAOYT,0,57,87.55,0,0,0,1,1,1,1,0,1,0,0,1,1,0,6,14.591666666666667,2,False,True,False,True,False,False,True,False,False,False
2202-CUYXZ,0,1,84.85,1,0,0,1,0,0,0,1,0,1,0,1,1,1,4,21.2125,1,False,True,False,True,False,False,False,False,True,False
6234-PFPXL,0,22,95.9,1,1,0,1,1,1,0,0,1,1,0,0,1,0,6,15.983333333333334,1,False,True,False,True,False,False,False,True,False,False
8645-KWHJO,0,14,55.0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,11.0,1,True,False,False,True,False,False,False,False,True,False
7860-KSUGX,0,72,64.45,1,1,1,1,1,1,1,1,0,0,0,0,1,0,6,10.741666666666667,3,True,False,False,False,False,True,False,True,False,False
5808-TOTXO,0,3,20.55,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,20.55,0,False,False,True,False,True,False,False,True,False,False
5117-ZSMHQ,0,71,89.9,0,1,1,1,1,1,1,1,1,1,1,0,1,0,9,9.988888888888889,3,True,False,False,False,False,True,True,False,False,False
5067-WJEUN,0,67,54.2,1,1,1,1,0,1,1,0,0,0,0,1,1,0,4,13.55,2,True,False,False,False,False,True,True,False,False,False
7580-UGXNC,1,2,54.85,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4,13.7125,2,True,False,False,True,False,False,False,False,False,True
0042-JVWOJ,0,26,19.6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,19.6,0,False,False,True,False,True,False,True,False,False,False
5651-YLPRD,0,32,86.1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,4,21.525,1,False,True,False,True,False,False,False,False,True,False
3336-JORSO,1,33,110.45,0,0,0,1,1,0,1,1,1,1,1,1,1,1,8,13.80625,2,False,True,False,True,False,False,False,False,True,False
0023-HGHWL,1,1,25.1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,25.1,0,True,False,False,True,False,False,False,False,True,False
3352-RICWQ,0,9,19.75,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,19.75,0,False,False,True,False,False,True,False,False,False,True
4753-PADAS,0,67,105.7,0,1,0,1,1,0,1,1,0,1,1,1,1,0,7,15.1,2,False,True,False,False,True,False,True,False,False,False
9961-JBNMK,1,21,96.8,1,0,0,1,0,0,0,1,0,1,1,1,1,0,5,19.36,1,False,True,False,True,False,False,True,False,False,False
3055-VTCGS,0,63,58.55,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4,14.6375,1,True,False,False,False,True,False,False,True,False,False
0516-QREYC,1,24,20.3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,20.3,0,False,False,True,True,False,False,False,False,False,True
7524-VRLPL,1,69,74.1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,7,10.585714285714285,2,True,False,False,False,False,True,False,True,False,False
7359-SSBJK,1,64,70.2,0,0,0,1,0,1,1,0,1,1,0,1,1,0,6,11.700000000000001,2,True,False,False,False,False,True,False,True,False,False
